 # This file contain the data for renormalised velocity
 # Momentum    Velocity
   3.36700329E-03   4.27701712    
   6.73400657E-03   4.02489853    
   1.01010101E-02   3.96092510    
   1.34680131E-02   3.74298286    
   1.68350171E-02   3.62245440    
   2.02020202E-02   3.56617546    
   2.35690232E-02   3.47514868    
   2.69360263E-02   3.39301610    
   3.03030312E-02   3.34710479    
   3.36700343E-02   3.29819322    
   3.70370373E-02   3.23251820    
   4.04040404E-02   3.19358802    
   4.37710434E-02   3.16741061    
   4.71380465E-02   3.10924935    
   5.05050495E-02   3.07512498    
   5.38720526E-02   3.06369925    
   5.72390556E-02   3.00923038    
   6.06060624E-02   2.97851348    
   6.39730617E-02   2.96453643    
   6.73400685E-02   2.92512679    
   7.07070678E-02   2.89685798    
   7.40740746E-02   2.88046122    
   7.74410740E-02   2.85270739    
   8.08080807E-02   2.82614636    
   8.41750875E-02   2.80915213    
   8.75420868E-02   2.78926992    
   9.09090936E-02   2.76378918    
   9.42760929E-02   2.74690223    
   9.76430997E-02   2.73295236    
  0.101010099       2.70799994    
  0.104377106       2.69145679    
  0.107744105       2.68151689    
  0.111111112       2.65753078    
  0.114478111       2.64135885    
  0.117845118       2.63203907    
  0.121212125       2.61149764    
  0.124579124       2.59565258    
  0.127946123       2.58552051    
  0.131313130       2.56917548    
  0.134680137       2.55358243    
  0.138047144       2.54295659    
  0.141414136       2.53005075    
  0.144781142       2.51462579    
  0.148148149       2.50377679    
  0.151515156       2.49357486    
  0.154882148       2.47832346    
  0.158249155       2.46736598    
  0.161616161       2.45910478    
  0.164983168       2.44433808    
  0.168350175       2.43337011    
  0.171717167       2.42593145    
  0.175084174       2.41241312    
  0.178451180       2.40143681    
  0.181818187       2.39380884    
  0.185185179       2.38228011    
  0.188552186       2.37131763    
  0.191919193       2.36343575    
  0.195286199       2.35376787    
  0.198653191       2.34278989    
  0.202020198       2.33467817    
  0.205387205       2.32660174    
  0.208754212       2.31571412    
  0.212121218       2.30745602    
  0.215488210       2.30049133    
  0.218855217       2.28990865    
  0.222222224       2.28157759    
  0.225589231       2.27512002    
  0.228956223       2.26528382    
  0.232323229       2.25687313    
  0.235690236       2.25056458    
  0.239057243       2.24169540    
  0.242424250       2.23328161    
  0.245791242       2.22681117    
  0.249158248       2.21908188    
  0.252525240       2.21061158    
